id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
primary_sector_focused_company_count,Number of companies primarily focused in a given sector.,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.3508,16,19,[]
pv13_com_page_rank,the PageRank of competitors,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.8966,1090,1914,[]
pv13_com_rk_au,the HITS authority score of competitors,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.8966,1205,2201,[]
pv13_custretsig_retsig,Sign of customer return,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.9276,1052,2435,[]
pv13_ompetitorgraphrank_hub_rank,the HITS hub score of competitors,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.8966,798,1398,[]
pv13_revere_city,City code,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.9999,756,1484,[]
pv13_revere_company_total,Total number of companies in the sector,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.3508,544,659,[]
pv13_revere_comproduct_company,Company product,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.4078,37,45,[]
pv13_revere_country,Country code,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,1.0,608,1102,[]
pv13_revere_index_cap,Company market capitalization,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,1.0,933,1746,[]
pv13_revere_index_value,Value of specified index for the date,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,1.0,295,425,[]
pv13_revere_key_sector_total,Number of key focus sectors for the company,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,1.0,1801,3318,[]
pv13_revere_level,Level of the sector within the hierarchy,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.6205,364,589,[]
pv13_revere_parent,Code of parent sector,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.6205,364,482,[]
pv13_revere_term,"Indicates when a sector is the terminal sector (i.e., no sub-sectors)","{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.4115,138,260,[]
pv13_revere_term_sector_total,Number of terminal sectors for the company,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,1.0,1178,3103,[]
pv13_revere_zipcode,Zip code,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,,0.9238,467,1165,[]
pv13_reveremap,Mapping data,"{'id': 'pv13', 'name': 'Relationship Data for Equity'}","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,MATRIX,1.0,0.9926,1415,3130,[]
