id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
historical_volatility_10,Close-to-close Historical volatility over 10 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6983,1094,2536,[]
historical_volatility_120,Close-to-close Historical volatility over 120 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.7004,1794,3807,[]
historical_volatility_150,Close-to-close Historical volatility over 150 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.7014,952,2204,[]
historical_volatility_180,Close-to-close Historical volatility over 180 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.7023,1928,4338,[]
historical_volatility_20,Close-to-close Historical volatility over 20 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6983,780,1634,[]
historical_volatility_30,Close-to-close Historical volatility over 30 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6981,850,1713,[]
historical_volatility_60,Close-to-close Historical volatility over 60 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6984,999,2426,[]
historical_volatility_90,Close-to-close Historical volatility over 90 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6994,816,1903,[]
implied_volatility_call_10,At-the-money option-implied volatility for call Option for 10 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,2178,4360,[]
implied_volatility_call_1080,At-the-money option-implied volatility for call option for 1080 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,3425,8158,[]
implied_volatility_call_120,At-the-money option-implied volatility for call Option for 120 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,5200,10316,[]
implied_volatility_call_150,At-the-money option-implied volatility for call Option for 150 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,2322,4479,[]
implied_volatility_call_180,At-the-money option-implied volatility for call Option for 180 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,3148,5895,[]
implied_volatility_call_20,At-the-money option-implied volatility for call Option for 20 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1039,2041,[]
implied_volatility_call_270,At-the-money option-implied volatility for call Option for 270 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,7646,11438,[]
implied_volatility_call_30,At-the-money option-implied volatility for call Option for 30 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1735,3843,[]
implied_volatility_call_360,At-the-money option-implied volatility for call Option for 360 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1779,3564,[]
implied_volatility_call_60,At-the-money option-implied volatility for call Option for 60 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,2980,6061,[]
implied_volatility_call_720,At-the-money option-implied volatility for call Option for 720 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1596,3080,[]
implied_volatility_call_90,At-the-money option-implied volatility for call Option for 90 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6958,1580,3650,[]
implied_volatility_mean_10,At-the-money option-implied volatility mean for 10 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,2822,6811,[]
implied_volatility_mean_1080,At-the-money option-implied volatility mean for 3 years,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,568,1096,[]
implied_volatility_mean_120,At-the-money option-implied volatility mean for 120 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,2185,3525,[]
implied_volatility_mean_150,At-the-money option-implied volatility mean for 150 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,1027,1850,[]
implied_volatility_mean_180,At-the-money option-implied volatility mean for 180 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,1046,1873,[]
implied_volatility_mean_20,At-the-money option-implied volatility mean for 20 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,556,1108,[]
implied_volatility_mean_270,At-the-money option-implied volatility mean for 270 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,637,1003,[]
implied_volatility_mean_30,At-the-money option-implied volatility mean for 30 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,726,1277,[]
implied_volatility_mean_360,At-the-money option-implied volatility mean for 360 days,"{'id': 'option8', 'name': 'Volatility Data'}","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,MATRIX,1.0,0.6943,713,1152,[]
