id,description,dataset,category,subcategory,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,themes
scl12_buzz,relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,13003,19674,[]
scl12_buzz_fast_d1,relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9756,97,112,[]
scl12_sentiment,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,1167,3204,[]
scl12_sentiment_fast_d1,sentiment,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9756,104,118,[]
snt_buzz,"negative relative sentiment volume, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,2921,9018,[]
snt_buzz_bfl,"negative relative sentiment volume, fill nan with 1","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,2495,5710,[]
snt_buzz_bfl_fast_d1,"negative relative sentiment volume, fill nan with 1","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9998,95,99,[]
snt_buzz_fast_d1,"negative relative sentiment volume, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,106,117,[]
snt_buzz_ret,negative return of relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,1707,3815,[]
snt_buzz_ret_fast_d1,negative return of relative sentiment volume,"{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,37,47,[]
snt_value,"negative sentiment, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,1.0,778,2378,[]
snt_value_fast_d1,"negative sentiment, fill nan with 0","{'id': 'socialmedia12', 'name': 'Sentiment Data for Equity'}","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,MATRIX,1.0,0.9769,95,122,[]
